n	ṅ
dhammavicayasambojjhangoti	dhammavicayasambojjhaṅgoti
sankhatamabhisankharontīti	saṅkhatamabhisaṅkharontīti
khaṇḍaphullapaṭisankharaṇaṃ	khaṇḍaphullapaṭisaṅkharaṇaṃ
atirekadvangulapabbaparamaṃ	atirekadvaṅgulapabbaparamaṃ
adukkhamasukhavedanāsamangī	adukkhamasukhavedanāsamaṅgī
dhammānupassanābojjhangapabba	dhammānupassanābojjhaṅgapabba
sankhāradhāturāgavinibandhañca	saṅkhāradhāturāgavinibandhañca
sasankhāraniggayhavāritagatoti	sasaṅkhāraniggayhavāritagatoti
uccālingapāṇakadaṭṭhūpatthambheti	uccāliṅgapāṇakadaṭṭhūpatthambheti
sabbaahankāramamankāramānānusayānaṃ	sabbaahaṅkāramamaṅkāramānānusayānaṃ
sankhārasamāpattipattabbamakkhāyati	saṅkhārasamāpattipattabbamakkhāyati
sankhārāvasesasamāpattipattabbametaṃ	saṅkhārāvasesasamāpattipattabbametaṃ
mahātaṇhājālataṇhāsanghāṭappaṭimukkanti	mahātaṇhājālataṇhāsaṅghāṭappaṭimukkanti
gangātīriyo	gaṅgātīriyo
huṃhunko	huṃhuṅko
angaṃtveva	aṅgaṃtveva
anganteva	aṅganteva
ekasanghampi	ekasaṅghampi
appevangāni	appevaṅgāni
sasangāmeva	sasaṅgāmeva
vankakotveva	vaṅkakotveva
sanghañcassa	saṅghañcassa
mahāranganāma	mahāraṅganāma
sanghassevetaṃ	saṅghassevetaṃ
antovankagato	antovaṅkagato
sattanganti	sattaṅganti
asankamanīyā	asaṅkamanīyā
sankappotipi	saṅkappotipi
vibhangañcāti	vibhaṅgañcāti
susangītāvuso	susaṅgītāvuso
singiloṇakappo	siṅgiloṇakappo
vaggasangahoti	vaggasaṅgahoti
sankhamuttāva	saṅkhamuttāva
bhangodakanti	bhaṅgodakanti
kāḷanginiṃva	kāḷaṅginiṃva
ekasanghātampi	ekasaṅghātampi
lingapucchāti	liṅgapucchāti
kāmasangasattā	kāmasaṅgasattā
sankhittañceva	saṅkhittañceva
kālankatotveva	kālaṅkatotveva
sankhārepāhaṃ	saṅkhārepāhaṃ
asankamaniyāyo	asaṅkamaniyāyo
hirimangalanāmo	hirimaṅgalanāmo
sangāhaṇāhetuṃ	saṅgāhaṇāhetuṃ
acirangoyoniyā	aciraṅgoyoniyā
lingādidassana	liṅgādidassana
sanghasammukhatā	saṅghasammukhatā
tankhaṇikāyapīti	taṅkhaṇikāyapīti
pañcahangehīti	pañcahaṅgehīti
sankhatametanti	saṅkhatametanti
suttavibhangeti	suttavibhaṅgeti
sanghapuggalañca	saṅghapuggalañca
tiṇṇakathankatho	tiṇṇakathaṅkatho
sanghāṭikaṇṇopi	saṅghāṭikaṇṇopi
navasangahavagga	navasaṅgahavagga
samathasangahoti	samathasaṅgahoti
navasangahavaggo	navasaṅgahavaggo
sankhanābhimayaṃ	saṅkhanābhimayaṃ
pabhankarātipi	pabhaṅkarātipi
rangakkhamañceva	raṅgakkhamañceva
mangalatthāyāti	maṅgalatthāyāti
angarāgamukharāgo	aṅgarāgamukharāgo
mahārangamahānāma	mahāraṅgamahānāma
mahārangamahānāmā	mahāraṅgamahānāmā
gonangulamigāyutā	gonaṅgulamigāyutā
yatasankappajjhāyi	yatasaṅkappajjhāyi
vibhangakovidāti	vibhaṅgakovidāti
suveṇīhilankataṃ	suveṇīhilaṅkataṃ
anguliaḷakaṇḍaraṃ	aṅguliaḷakaṇḍaraṃ
sapattangārokiri	sapattaṅgārokiri
dhankamivossajanti	dhaṅkamivossajanti
paccayasangahamūlā	paccayasaṅgahamūlā
mangalamuttamanti	maṅgalamuttamanti
anupajjhāyasanghena	anupajjhāyasaṅghena
angarāgamukharāgaṃ	aṅgarāgamukharāgaṃ
vangīsattheravatthu	vaṅgīsattheravatthu
aṭṭhinhārusanghāte	aṭṭhinhārusaṅghāte
upasankamanampāhaṃ	upasaṅkamanampāhaṃ
bhikkhusanghañcāti	bhikkhusaṅghañcāti
sanghañcupaṭṭhāsiṃ	saṅghañcupaṭṭhāsiṃ
ariyañcaṭṭhangikaṃ	ariyañcaṭṭhaṅgikaṃ
sangāmavijayotipi	saṅgāmavijayotipi
sankappaparatejitaṃ	saṅkappaparatejitaṃ
upasankamanampahaṃ	upasaṅkamanampahaṃ
sabbamahārangarattā	sabbamahāraṅgarattā
alankammaniyañceva	alaṅkammaniyañceva
dvecaturangagāminaṃ	dvecaturaṅgagāminaṃ
aparagāthāsangaṇika	aparagāthāsaṅgaṇika
sattasangappahīnassa	sattasaṅgappahīnassa
ambapallavasankāsaṃ	ambapallavasaṅkāsaṃ
saṃyojanasangasattā	saṃyojanasaṅgasattā
parankārūpasaṃhitā	paraṅkārūpasaṃhitā
cankamanavedikanti	caṅkamanavedikanti
sankhatamasubhanti	saṅkhatamasubhanti
sammāsankappampahaṃ	sammāsaṅkappampahaṃ
vehāsādupasankamiṃ	vehāsādupasaṅkamiṃ
mangaladosavippahīno	maṅgaladosavippahīno
dutiyagāthāsangaṇika	dutiyagāthāsaṅgaṇika
sanghanānākaraṇanti	saṅghanānākaraṇanti
bhikkhusanghassevetaṃ	bhikkhusaṅghassevetaṃ
sanghāṭirajūpavāhane	saṅghāṭirajūpavāhane
angulimālacoravatthu	aṅgulimālacoravatthu
singhāṭakabaddhanti	siṅghāṭakabaddhanti
disangamikādivatthu	disaṅgamikādivatthu
nāgasanghapurakkhato	nāgasaṅghapurakkhato
dutiyagāthāsangaṇikaṃ	dutiyagāthāsaṅgaṇikaṃ
saṃyojanasangasattakā	saṃyojanasaṅgasattakā
sanghāṭirajūpavāhanaṃ	saṅghāṭirajūpavāhanaṃ
katamangasamannāgataṃ	katamaṅgasamannāgataṃ
angulimālattheravatthu	aṅgulimālattheravatthu
devasanghapurakkhataṃ	devasaṅghapurakkhataṃ
sattavīsatisangahāti	sattavīsatisaṅgahāti
haricandanalittangiṃ	haricandanalittaṅgiṃ
sabbamahārangarattāni	sabbamahāraṅgarattāni
sankhittavitthārenapi	saṅkhittavitthārenapi
sankiccasāmaṇeravatthu	saṅkiccasāmaṇeravatthu
suladdhalābhasankhātaṃ	suladdhalābhasaṅkhātaṃ
samuṭṭhānasīsasankhepa	samuṭṭhānasīsasaṅkhepa
sabbasangamūlabandhanā	sabbasaṅgamūlabandhanā
samuṭṭhānasīsasankhepo	samuṭṭhānasīsasaṅkhepo
dhammaviññāṇamākankhaṃ	dhammaviññāṇamākaṅkhaṃ
bhikkhunisanghassevetaṃ	bhikkhunisaṅghassevetaṃ
ayosankusamāhataṭṭhānaṃ	ayosaṅkusamāhataṭṭhānaṃ
bhikkhuvibhangamahāvāro	bhikkhuvibhaṅgamahāvāro
adhiṭṭhitañcatthangate	adhiṭṭhitañcatthaṅgate
sanghuposathādippabheda	saṅghuposathādippabheda
vimuttisamādhipañcangikā	vimuttisamādhipañcaṅgikā
sanghabhattādianujānana	saṅghabhattādianujānana
upālisanghasāmaggīpucchā	upālisaṅghasāmaggīpucchā
ṭhapayitvāsandipallankaṃ	ṭhapayitvāsandipallaṅkaṃ
dutiyasanghabhedakavagga	dutiyasaṅghabhedakavagga
dutiyasanghabhedakavaggo	dutiyasaṅghabhedakavaggo
ariyamaṭṭhangikamañjasaṃ	ariyamaṭṭhaṅgikamañjasaṃ
diṭṭhasutaparisankitoti	diṭṭhasutaparisaṅkitoti
suppatiṭṭhitasankhātanti	suppatiṭṭhitasaṅkhātanti
sankhāranirodhañāṇakusalo	saṅkhāranirodhañāṇakusalo
nāccharāsanghātamattampi	nāccharāsaṅghātamattampi
vicikicchākankhāganthitaṃ	vicikicchākaṅkhāganthitaṃ
mahākammasaḷāyatanavibhangā	mahākammasaḷāyatanavibhaṅgā
sanghabhedaparisakkanavatthu	saṅghabhedaparisakkanavatthu
khaṇḍaphullapaṭisankharaṇamattena	khaṇḍaphullapaṭisaṅkharaṇamattena
gangāmahiyāyāti	gaṅgāmahiyāyāti
huṃhunkajātiko	huṃhuṅkajātiko
singiloṇakappoti	siṅgiloṇakappoti
sankhanābhimayanti	saṅkhanābhimayanti
kappantusankitelañca	kappantusaṅkitelañca
mahāsangāmañāpanāti	mahāsaṅgāmañāpanāti
maṇikanakabhūsitango	maṇikanakabhūsitaṅgo
nangalakulattheravatthu	naṅgalakulattheravatthu
pārājisanghathullaccaya	pārājisaṅghathullaccaya
mahārangarattavaddhikā	mahāraṅgarattavaddhikā
sanghapavāraṇādippabheda	saṅghapavāraṇādippabheda
paragangāpeyyālīvaṇṇiyato	paragaṅgāpeyyālīvaṇṇiyato
sanghikacīvaruppādakathā	saṅghikacīvaruppādakathā
bhikkhusanghassevetanti	bhikkhusaṅghassevetanti
tāmatamadasanghasuppahīnā	tāmatamadasaṅghasuppahīnā
diṭṭhasutaparisankitomhīti	diṭṭhasutaparisaṅkitomhīti
bālanakkhattasanghuṭṭhavatthu	bālanakkhattasaṅghuṭṭhavatthu
sanghāṭikhuramuṇḍabhikkhabhojī	saṅghāṭikhuramuṇḍabhikkhabhojī
papañcasanghātadukhādhivāhiniṃ	papañcasaṅghātadukhādhivāhiniṃ
sangharakkhitabhāgineyyattheravatthu	saṅgharakkhitabhāgineyyattheravatthu
khaṇḍaphullapaṭisankharaṇamattenapi	khaṇḍaphullapaṭisaṅkharaṇamattenapi
dhankamivossajantīti	dhaṅkamivossajantīti
navangakusumamālagīveyyaṃ	navaṅgakusumamālagīveyyaṃ
sanghebhinnecīvaruppādakathā	saṅghebhinnecīvaruppādakathā
bheravānangaṇākankheyyavatthaṃ	bheravānaṅgaṇākaṅkheyyavatthaṃ
sanghabhedeanāpattivassacchedavāra	saṅghabhedeanāpattivassacchedavāra
akankho	akaṅkho
akankhaṃ	akaṅkhaṃ
akankhī	akaṅkhī
akankhiṃ	akaṅkhiṃ
akathankathī	akathaṅkathī
akathankathi	akathaṅkathi
akathankathiṃ	akathaṅkathiṃ
akathankathissa	akathaṅkathissa
akusalasankappā	akusalasaṅkappā
akusalasankhātā	akusalasaṅkhātā
akotūhalamangaliko	akotūhalamaṅgaliko
agadangāraṃ	agadaṅgāraṃ
agadangārassa	agadaṅgārassa
aggankurakaṃ	aggaṅkurakaṃ
anka	aṅka
anko	aṅko
ankaṃ	aṅkaṃ
anke	aṅke
ankena	aṅkena
ankura	aṅkura
ankusaṃ	aṅkusaṃ
ankusebhi	aṅkusebhi
ankusehi	aṅkusehi
ankusagayhaṃ	aṅkusagayhaṃ
ankusagayhe	aṅkusagayhe
ankusaggaho	aṅkusaggaho
anga	aṅga
angaṃ	aṅgaṃ
angā	aṅgā
angāni	aṅgāni
ange	aṅge
angena	aṅgena
angehi	aṅgehi
angassa	aṅgassa
angānaṃ	aṅgānaṃ
angato	aṅgato
angesu	aṅgesu
ango	aṅgo
angako	aṅgako
angakaṃ	aṅgakaṃ
angajātaṃ	aṅgajātaṃ
angajāte	aṅgajāte
angajātena	aṅgajātena
angajātasāmantā	aṅgajātasāmantā
angaṇaṃ	aṅgaṇaṃ
angaṇā	aṅgaṇā
angaṇe	aṅgaṇe
angaṇassa	aṅgaṇassa
angaṇikabhāradvājattheragāthā	aṅgaṇikabhāradvājattheragāthā
angapaccangaṃ	aṅgapaccaṅgaṃ
angapaccangāni	aṅgapaccaṅgāni
angapaccange	aṅgapaccaṅge
angapaccangānaṃ	aṅgapaccaṅgānaṃ
angamagadhā	aṅgamagadhā
angamagadhānaṃ	aṅgamagadhānaṃ
angamangāni	aṅgamaṅgāni
angamangānusārino	aṅgamaṅgānusārino
angamāgadhakehi	aṅgamāgadhakehi
angarāga	aṅgarāga
angarāgo	aṅgarāgo
angarāgaṃ	aṅgarāgaṃ
angarājā	aṅgarājā
angasambhārā	aṅgasambhārā
angasutta	aṅgasutta
angavijjā	aṅgavijjā
angavijjātiracchānavijjāya	aṅgavijjātiracchānavijjāya
angāra	aṅgāra
angāraṃ	aṅgāraṃ
angārāni	aṅgārāni
angāre	aṅgāre
angārānaṃ	aṅgārānaṃ
angāresu	aṅgāresu
angārakaṭāhena	aṅgārakaṭāhena
angārakāsu	aṅgārakāsu
angārakāsuṃ	aṅgārakāsuṃ
angārakāsuyā	aṅgārakāsuyā
angārakāsūpamā	aṅgārakāsūpamā
angārathūpo	aṅgārathūpo
angārapabbataṃ	aṅgārapabbataṃ
angārino	aṅgārino
angiko	aṅgiko
angiṃ	aṅgiṃ
anginiṃ	aṅginiṃ
angīrasa	aṅgīrasa
angīraso	aṅgīraso
angīrasaṃ	aṅgīrasaṃ
angīrasassa	aṅgīrasassa
angīrasi	aṅgīrasi
anguṭṭhaṃ	aṅguṭṭhaṃ
anguṭṭhena	aṅguṭṭhena
anguṭṭhakena	aṅguṭṭhakena
anguṭṭhapadaṃ	aṅguṭṭhapadaṃ
anguttara	aṅguttara
anguttaranikāyo	aṅguttaranikāyo
anguttarāpo	aṅguttarāpo
anguttarāpānaṃ	aṅguttarāpānaṃ
anguttarāpesu	aṅguttarāpesu
angulaṃ	aṅgulaṃ
angule	aṅgule
angulesu	aṅgulesu
angulantarikāya	aṅgulantarikāya
anguli	aṅguli
anguliyo	aṅguliyo
anguliṃ	aṅguliṃ
anguliyā	aṅguliyā
angulīhi	aṅgulīhi
angulīnaṃ	aṅgulīnaṃ
angulipatodako	aṅgulipatodako
angulipatodake	aṅgulipatodake
angulipatodakena	aṅgulipatodakena
angulipatodakehi	aṅgulipatodakehi
angulipatodakasikkhāpada	aṅgulipatodakasikkhāpada
angulipatodakasikkhāpadaṃ	aṅgulipatodakasikkhāpadaṃ
angulipadāni	aṅgulipadāni
angulipabbatemanamatta	aṅgulipabbatemanamatta
angulipabbatemanamattaṃ	aṅgulipabbatemanamattaṃ
angulimāla	aṅgulimāla
angulimālo	aṅgulimālo
angulimālaṃ	aṅgulimālaṃ
angulimālena	aṅgulimālena
angulimālassa	aṅgulimālassa
angulimālattheragāthā	aṅgulimālattheragāthā
angulimālasutta	aṅgulimālasutta
angulimālasuttaṃ	aṅgulimālasuttaṃ
angulimuddikā	aṅgulimuddikā
angulimuddikaṃ	aṅgulimuddikaṃ
angulimuddika	aṅgulimuddika
accankuso	accaṅkuso
accharāgaṇasanghuṭṭhaṃ	accharāgaṇasaṅghuṭṭhaṃ
accharāsanghaparivuto	accharāsaṅghaparivuto
accharāsanghaparivutā	accharāsaṅghaparivutā
accharāsanghātamatta	accharāsaṅghātamatta
accharāsanghātamattaṃ	accharāsaṅghātamattaṃ
accharāsanghātavagga	accharāsaṅghātavagga
accharāsanghātavaggo	accharāsaṅghātavaggo
ajjhattikangasutta	ajjhattikaṅgasutta
aññasanghassa	aññasaṅghassa
aṭavisankopo	aṭavisaṅkopo
aṭavisankope	aṭavisaṅkope
aṭṭhangāni	aṭṭhaṅgāni
aṭṭhangehi	aṭṭhaṅgehi
aṭṭhangamagga	aṭṭhaṅgamagga
aṭṭhangamaggaṃ	aṭṭhaṅgamaggaṃ
aṭṭhangasamannāgato	aṭṭhaṅgasamannāgato
aṭṭhangasamannāgataṃ	aṭṭhaṅgasamannāgataṃ
aṭṭhangasamannāgate	aṭṭhaṅgasamannāgate
aṭṭhangasamannāgatassa	aṭṭhaṅgasamannāgatassa
aṭṭhangasamannāgatesu	aṭṭhaṅgasamannāgatesu
aṭṭhangasusamāgatā	aṭṭhaṅgasusamāgatā
aṭṭhangasusamāgataṃ	aṭṭhaṅgasusamāgataṃ
aṭṭhangiko	aṭṭhaṅgiko
aṭṭhangikaṃ	aṭṭhaṅgikaṃ
aṭṭhangike	aṭṭhaṅgike
aṭṭhangikena	aṭṭhaṅgikena
aṭṭhangikassa	aṭṭhaṅgikassa
aṭṭhangikasutta	aṭṭhaṅgikasutta
aṭṭhangupetaṃ	aṭṭhaṅgupetaṃ
aṭṭhangupetassa	aṭṭhaṅgupetassa
aṭṭhangula	aṭṭhaṅgula
aṭṭhangulaṃ	aṭṭhaṅgulaṃ
aṭṭhangulapādakaṃ	aṭṭhaṅgulapādakaṃ
aṭṭhanguli	aṭṭhaṅguli
aṭṭhamasanghādisesasikkhāpadaṃ	aṭṭhamasaṅghādisesasikkhāpadaṃ
aṭṭhikankala	aṭṭhikaṅkala
aṭṭhikankalo	aṭṭhikaṅkalo
aṭṭhikankalaṃ	aṭṭhikaṅkalaṃ
aṭṭhikankalūpamā	aṭṭhikaṅkalūpamā
aṭṭhikasankhalikaṃ	aṭṭhikasaṅkhalikaṃ
aṭṭhinkatvā	aṭṭhiṅkatvā
aṭṭhisanghāta	aṭṭhisaṅghāta
aḍḍhapallankaṃ	aḍḍhapallaṅkaṃ
atirekadvangulapabba	atirekadvaṅgulapabba
atirekadvangulapabbe	atirekadvaṅgulapabbe
atthangato	atthaṅgato
atthangatā	atthaṅgatā
atthangate	atthaṅgate
atthangatena	atthaṅgatena
atthangatassa	atthaṅgatassa
atthangatasaññī	atthaṅgatasaññī
atthangatasikkhāpada	atthaṅgatasikkhāpada
atthangatasikkhāpadaṃ	atthaṅgatasikkhāpadaṃ
atthangatū	atthaṅgatū
atthangamo	atthaṅgamo
atthangamā	atthaṅgamā
atthangamaṃ	atthaṅgamaṃ
atthangamāya	atthaṅgamāya
adhunākālankato	adhunākālaṅkato
adhobhāgangamanīyā	adhobhāgaṅgamanīyā
anangaṇo	anaṅgaṇo
anangaṇā	anaṅgaṇā
anangaṇaṃ	anaṅgaṇaṃ
anangaṇe	anaṅgaṇe
anangaṇassa	anaṅgaṇassa
anangaṇānaṃ	anaṅgaṇānaṃ
anangaṇasutta	anaṅgaṇasutta
anangaṇasuttaṃ	anaṅgaṇasuttaṃ
anatthangate	anatthaṅgate
anatthangatasaññī	anatthaṅgatasaññī
anabhāvankato	anabhāvaṅkato
anabhāvankatā	anabhāvaṅkatā
anabhāvankataṃ	anabhāvaṅkataṃ
anabhāvankatāni	anabhāvaṅkatāni
anabhāvankate	anabhāvaṅkate
anabhisankhacca	anabhisaṅkhacca
anabhisankharitvā	anabhisaṅkharitvā
anabhisankharonto	anabhisaṅkharonto
anabhisankharoto	anabhisaṅkharoto
analankatā	analaṅkatā
analankaritvā	analaṅkaritvā
anavajjasankhātā	anavajjasaṅkhātā
anāvilasankappo	anāvilasaṅkappo
anāvilasankappā	anāvilasaṅkappā
aniṭṭhangato	aniṭṭhaṅgato
aniṭṭhangatatā	aniṭṭhaṅgatatā
anucankamanti	anucaṅkamanti
anucankamante	anucaṅkamante
anucankamāmi	anucaṅkamāmi
anucankamissaṃ	anucaṅkamissaṃ
anucankamanaṃ	anucaṅkamanaṃ
anucankamantānaṃ	anucaṅkamantānaṃ
anucankamamāno	anucaṅkamamāno
anucankamamānā	anucaṅkamamānā
anucankamāpenti	anucaṅkamāpenti
anucankamiṃsu	anucaṅkamiṃsu
anucankamiṃ	anucaṅkamiṃ
anupasankanto	anupasaṅkanto
anupubbasankhārānaṃ	anupubbasaṅkhārānaṃ
anusampavankatā	anusampavaṅkatā
anussankī	anussaṅkī
antosunkaghāte	antosuṅkaghāte
apagatavankā	apagatavaṅkā
aparaaccharāsanghātavagga	aparaaccharāsaṅghātavagga
aparaaccharāsanghātavaggo	aparaaccharāsaṅghātavaggo
aparankāro	aparaṅkāro
aparankārā	aparaṅkārā
aparankāraṃ	aparaṅkāraṃ
aparājitasanghaṃ	aparājitasaṅghaṃ
apariyositasankappo	apariyositasaṅkappo
aparisankito	aparisaṅkito
aparisankitaṃ	aparisaṅkitaṃ
aparisankitassa	aparisaṅkitassa
apuññābhisankhāro	apuññābhisaṅkhāro
apuññābhisankhāraṃ	apuññābhisaṅkhāraṃ
appaṭisankhā	appaṭisaṅkhā
appaṭisankhāya	appaṭisaṅkhāya
appaduṭṭhamanasankappo	appaduṭṭhamanasaṅkappo
appabhangu	appabhaṅgu
appabhangū	appabhaṅgū
appabhanguṃ	appabhaṅguṃ
appātanko	appātaṅko
appātankaṃ	appātaṅkaṃ
appātankataṃ	appātaṅkataṃ
abyāpādasankappo	abyāpādasaṅkappo
abhikankhati	abhikaṅkhati
abhikankhāmi	abhikaṅkhāmi
abhikankhantaṃ	abhikaṅkhantaṃ
abhikankhamāno	abhikaṅkhamāno
abhikankhamānā	abhikaṅkhamānā
abhikankhinī	abhikaṅkhinī
abhikkhaṇātanko	abhikkhaṇātaṅko
abhidosakālankato	abhidosakālaṅkato
abhimangalasammatā	abhimaṅgalasammatā
abhisankhacca	abhisaṅkhacca
abhisankhato	abhisaṅkhato
abhisankhatā	abhisaṅkhatā
abhisankhataṃ	abhisaṅkhataṃ
abhisankhari	abhisaṅkhari
abhisankharitvā	abhisaṅkharitvā
abhisankharesi	abhisaṅkharesi
abhisankhareyya	abhisaṅkhareyya
abhisankhareyyaṃ	abhisaṅkhareyyaṃ
abhisankharoti	abhisaṅkharoti
abhisankharonti	abhisaṅkharonti
abhisankhāro	abhisaṅkhāro
abhisankhārassa	abhisaṅkhārassa
abhisankhārikaṃ	abhisaṅkhārikaṃ
abhisankhāresi	abhisaṅkhāresi
abhisankhāsi	abhisaṅkhāsi
abhisankhāsiṃ	abhisaṅkhāsiṃ
abhisangī	abhisaṅgī
abhisangi	abhisaṅgi
amankubhūto	amaṅkubhūto
ayosanku	ayosaṅku
ayosankū	ayosaṅkū
ayosankunā	ayosaṅkunā
ayosinghāṭakaṃ	ayosiṅghāṭakaṃ
araṇavibhangaṃ	araṇavibhaṅgaṃ
araṇavibhangassa	araṇavibhaṅgassa
araṇavibhangasutta	araṇavibhaṅgasutta
araṇavibhangasuttaṃ	araṇavibhaṅgasuttaṃ
ariyaaṭṭhangikamagga	ariyaaṭṭhaṅgikamagga
ariyaaṭṭhangikamaggesu	ariyaaṭṭhaṅgikamaggesu
ariyamaggasamangino	ariyamaggasamaṅgino
ariyasanghassa	ariyasaṅghassa
alankato	alaṅkato
alankatā	alaṅkatā
alankataṃ	alaṅkataṃ
alankate	alaṅkate
alankatappaṭiyattā	alaṅkatappaṭiyattā
alankammaniyaṃ	alaṅkammaniyaṃ
alankammaniye	alaṅkammaniye
alankarā	alaṅkarā
alankarotha	alaṅkarotha
alankara	alaṅkara
alankāro	alaṅkāro
alankāraṃ	alaṅkāraṃ
alankārena	alaṅkārena
alankārānaṃ	alaṅkārānaṃ
alankārānuppadānena	alaṅkārānuppadānena
alankārūpavicārā	alaṅkārūpavicārā
alamariyasankhātā	alamariyasaṅkhātā
asankaccika	asaṅkaccika
asankaccikā	asaṅkaccikā
asankaccikāya	asaṅkaccikāya
asankaccikasikkhāpada	asaṅkaccikasikkhāpada
asankiṇṇā	asaṅkiṇṇā
asankiṇṇaṃ	asaṅkiṇṇaṃ
asankiṇṇāni	asaṅkiṇṇāni
asankiṇṇapubbā	asaṅkiṇṇapubbā
asankiṇṇapubbaṃ	asaṅkiṇṇapubbaṃ
asankiṇṇapubbāni	asaṅkiṇṇapubbāni
asankiliṭṭha	asaṅkiliṭṭha
asankiliṭṭho	asaṅkiliṭṭho
asankiliṭṭhā	asaṅkiliṭṭhā
asankiliṭṭhaṃ	asaṅkiliṭṭhaṃ
asankiliṭṭhe	asaṅkiliṭṭhe
asankiliṭṭhacitto	asaṅkiliṭṭhacitto
asankiliṭṭhacittā	asaṅkiliṭṭhacittā
asankuppaṃ	asaṅkuppaṃ
asankhato	asaṅkhato
asankhatā	asaṅkhatā
asankhataṃ	asaṅkhataṃ
asankhatassa	asaṅkhatassa
asankhatagāmimaggo	asaṅkhatagāmimaggo
asankhatagāmiṃ	asaṅkhatagāmiṃ
asankhatalakkhaṇāni	asaṅkhatalakkhaṇāni
asankhatalakkhaṇāna	asaṅkhatalakkhaṇāna
asankhatalakkhaṇasutta	asaṅkhatalakkhaṇasutta
asankhatasaṃyuttaṃ	asaṅkhatasaṃyuttaṃ
asankhatasaṃyuttassa	asaṅkhatasaṃyuttassa
asankhatasutta	asaṅkhatasutta
asankhatādhātu	asaṅkhatādhātu
asankhatārammaṇā	asaṅkhatārammaṇā
asankharāno	asaṅkharāno
asankhāditvā	asaṅkhāditvā
asankhāro	asaṅkhāro
asankhārā	asaṅkhārā
asankhāraṃ	asaṅkhāraṃ
asankhāraparinibbāyī	asaṅkhāraparinibbāyī
asankhāraparinibbāyissa	asaṅkhāraparinibbāyissa
asankhittaṃ	asaṅkhittaṃ
asankheyyaṃ	asaṅkheyyaṃ
asankheyyā	asaṅkheyyā
asankheyyesu	asaṅkheyyesu
asankheyyo	asaṅkheyyo
asankhyeyyo	asaṅkhyeyyo
asankhyeyyāni	asaṅkhyeyyāni
asankhyeyyāna	asaṅkhyeyyāna
asanga	asaṅga
asangacārī	asaṅgacārī
asangacārino	asaṅgacārino
asangati	asaṅgati
asangamānaso	asaṅgamānaso
asangamānasā	asaṅgamānasā
asangahitāni	asaṅgahitāni
asangahitattā	asaṅgahitattā
asamangī	asamaṅgī
asamāhitasankappo	asamāhitasaṅkappo
asayankāro	asayaṅkāro
asayankārā	asayaṅkārā
asayankāraṃ	asayaṅkāraṃ
asitabyābhangiṃ	asitabyābhaṅgiṃ
asucisankassarasamācāro	asucisaṅkassarasamācāro
asucisankassarasamācāraṃ	asucisaṅkassarasamācāraṃ
asucisankassarasamācārassa	asucisaṅkassarasamācārassa
asucisankhāto	asucisaṅkhāto
asucisankhātā	asucisaṅkhātā
asurasangāme	asurasaṅgāme
asevitabbasankhātā	asevitabbasaṅkhātā
assakhaḷunko	assakhaḷuṅko
assakhaḷunkā	assakhaḷuṅkā
assakhaḷunke	assakhaḷuṅke
assakhaḷunkassa	assakhaḷuṅkassa
assakhaḷunkasutta	assakhaḷuṅkasutta
avanka	avaṅka
avankā	avaṅkā
avankattā	avaṅkattā
avangaṃ	avaṅgaṃ
avassikasankete	avassikasaṅkete
avitiṇṇakankho	avitiṇṇakaṅkho
avitiṇṇakankhaṃ	avitiṇṇakaṅkhaṃ
avihiṃsāsankappo	avihiṃsāsaṅkappo
avihiṃsāsankappaṃ	avihiṃsāsaṅkappaṃ
avebhangiya	avebhaṅgiya
avebhangiyaṃ	avebhaṅgiyaṃ
avebhangiyāni	avebhaṅgiyāni
ahankāra	ahaṅkāra
ahankārā	ahaṅkārā
ahankāramamankāramānānusayo	ahaṅkāramamaṅkāramānānusayo
ahankāramamankāramānānusayā	ahaṅkāramamaṅkāramānānusayā
ahankāramamankāramānānusayānaṃ	ahaṅkāramamaṅkāramānānusayānaṃ
ahankāramamankāramānāpagataṃ	ahaṅkāramamaṅkāramānāpagataṃ
ākankhati	ākaṅkhati
ākankhanti	ākaṅkhanti
ākankhasi	ākaṅkhasi
ākankhatha	ākaṅkhatha
ākankhāmi	ākaṅkhāmi
ākankhāma	ākaṅkhāma
ākankhe	ākaṅkhe
ākankha	ākaṅkha
ākankheyya	ākaṅkheyya
ākankheyyuṃ	ākaṅkheyyuṃ
ākankheyyāsi	ākaṅkheyyāsi
ākankhissati	ākaṅkhissati
ākankhissasi	ākaṅkhissasi
ākankhanta	ākaṅkhanta
ākankhaṃ	ākaṅkhaṃ
ākankhantā	ākaṅkhantā
ākankhā	ākaṅkhā
ākankhamāna	ākaṅkhamāna
ākankhamāno	ākaṅkhamāno
ākankhamānā	ākaṅkhamānā
ākankhamānena	ākaṅkhamānena
ākankhamānānaṃ	ākaṅkhamānānaṃ
ākankhasutta	ākaṅkhasutta
ākankhavagga	ākaṅkhavagga
ākankhavaggo	ākaṅkhavaggo
ākankhi	ākaṅkhi
ākankho	ākaṅkho
ākankhiṃ	ākaṅkhiṃ
ākankhitaṃ	ākaṅkhitaṃ
ākankhiyehi	ākaṅkhiyehi
ākankheyyā	ākaṅkheyyā
ākankheyyasutta	ākaṅkheyyasutta
ākankheyyasuttaṃ	ākaṅkheyyasuttaṃ
āṇisanghāṭo	āṇisaṅghāṭo
ātankaphassena	ātaṅkaphassena
